City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Tiksi,RU,71.6872,128.8694,46.44,75,70,7.94,broken clouds
165,Alexandria,EG,31.2156,29.9553,77.32,70,0,11.88,clear sky
166,Wembley,AU,-31.9333,115.8,64.06,91,75,9.22,broken clouds
167,Harper,LR,4.375,-7.7169,74.93,74,98,7.47,overcast clouds
168,Rio Grande,BR,-32.035,-52.0986,58.95,99,100,4.43,moderate rain
169,Aklavik,CA,68.2191,-135.0107,70.09,50,88,10.27,overcast clouds
170,Booue,GA,-0.0921,11.9385,70.9,90,64,1.68,broken clouds
171,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,mist
172,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,0.0,overcast clouds
173,Mitu,CO,1.1983,-70.1733,70.39,98,91,1.21,overcast clouds
174,Cartagena,CO,10.3997,-75.5144,80.22,89,20,6.91,few clouds
175,Rawson,AR,-43.3002,-65.1023,40.91,51,100,10.45,overcast clouds
176,Sivaganga,IN,9.8667,78.4833,84.61,60,100,5.95,overcast clouds
177,Nizhniy Kuranakh,RU,58.8353,125.4869,79.86,55,80,2.08,broken clouds
178,Constitucion,CL,-35.3333,-72.4167,51.57,82,34,7.2,scattered clouds
179,Lewisville,US,33.0462,-96.9942,93.81,55,0,14.97,clear sky
180,Sebrovo,RU,50.0981,43.2976,62.26,72,92,7.83,overcast clouds
181,Kaitangata,NZ,-46.2817,169.8464,44.2,85,100,3.56,overcast clouds
182,Vestmannaeyjar,IS,63.4427,-20.2734,51.94,97,100,7.43,overcast clouds
183,Nikolskoye,RU,59.7035,30.7861,68.88,77,18,3.53,few clouds
184,Podgornoye,RU,51.735,39.1496,59.22,94,75,6.71,light rain
185,Emerald,AU,-23.5333,148.1667,69.35,56,1,15.35,clear sky
186,Mongagua,BR,-24.0931,-46.6208,66.7,81,22,3.36,few clouds
187,Salalah,OM,17.0151,54.0924,75.29,94,100,6.91,overcast clouds
188,Shitanjing,CN,39.2342,106.3439,73.33,23,0,7.58,clear sky
189,Ribeira Grande,PT,38.5167,-28.7,72.25,88,39,3.49,scattered clouds
190,Yumen,CN,40.2833,97.2,80.24,17,0,10.4,clear sky
191,Zaysan,KZ,47.4667,84.8667,84.36,24,65,8.75,broken clouds
192,Kalmunai,LK,7.4167,81.8167,85.59,65,83,1.77,broken clouds
193,Buraydah,SA,26.326,43.975,82.85,11,67,3.94,broken clouds
194,Comodoro Rivadavia,AR,-45.8667,-67.5,31.86,55,0,9.22,clear sky
195,Sabha,LY,27.0377,14.4283,75.13,38,0,10.85,clear sky
196,Praia,CV,14.9215,-23.5087,77.54,78,75,4.61,broken clouds
197,Ukiah,US,39.1502,-123.2078,84.09,16,0,11.5,clear sky
198,Haines Junction,CA,60.7522,-137.5108,60.75,44,57,12.66,broken clouds
199,Tayu,ID,-6.5397,111.0518,85.98,59,85,9.62,overcast clouds
200,Vagur,FO,61.4732,-6.8119,50.09,83,82,4.38,broken clouds
201,Leirvik,NO,59.7798,5.5005,57.63,84,42,13.6,scattered clouds
202,Noumea,NC,-22.2763,166.4572,82.38,99,100,4.38,overcast clouds
203,Chulym,RU,55.0997,80.9572,68.31,65,42,16.71,scattered clouds
204,Oksfjord,NO,70.2396,22.3479,55.47,84,85,1.25,overcast clouds
205,Mehamn,NO,71.0357,27.8492,53.55,94,75,17.27,light intensity drizzle
206,Prachuap Khiri Khan,TH,12.2167,99.75,76.78,84,100,3.6,overcast clouds
207,Pringsewu,ID,-5.3582,104.9744,85.05,66,98,3.11,overcast clouds
208,La Ronge,CA,55.1001,-105.2842,62.85,63,40,8.05,scattered clouds
209,Muhororo,UG,0.9381,30.7594,65.52,59,100,2.84,overcast clouds
210,Fortuna,US,40.5982,-124.1573,62.1,76,46,6.08,scattered clouds
211,Makat,KZ,47.6469,53.3463,81.75,42,77,2.08,broken clouds
212,Padang,ID,-0.9492,100.3543,84.25,66,91,3.98,overcast clouds
213,Terre Haute,US,39.4667,-87.4139,77.27,83,0,6.91,clear sky
214,Riyadh,SA,24.6877,46.7219,89.74,12,48,9.62,scattered clouds
215,Mercedes,AR,-34.6515,-59.4307,45.79,89,0,5.53,clear sky
216,Port Elizabeth,ZA,-33.918,25.5701,48.49,93,0,5.75,clear sky
217,Oranjemund,NA,-28.55,16.4333,52.79,86,0,3.87,clear sky
218,Chokurdakh,RU,70.6333,147.9167,62.71,26,85,7.36,overcast clouds
219,Dzaoudzi,YT,-12.7887,45.2699,75.09,78,40,10.36,scattered clouds
220,Resistencia,AR,-27.4606,-58.9839,69.85,86,0,8.05,clear sky
221,San Rafael,AR,-34.6177,-68.3301,49.71,53,31,5.44,scattered clouds
222,Kieta,PG,-6.2167,155.6333,84.29,62,40,4.41,scattered clouds
223,Muroto,JP,33.2833,134.15,82.71,70,12,15.23,few clouds
224,Port Antonio,JM,18.18,-76.4612,85.91,83,2,7.07,clear sky
225,Mahebourg,MU,-20.4081,57.7,70.25,70,71,16.73,light rain
226,Mao,ES,39.8885,4.2658,73.96,94,0,1.14,clear sky
227,Paamiut,GL,61.994,-49.6678,47.95,78,2,5.08,clear sky
228,Morant Bay,JM,17.8815,-76.4093,85.62,84,5,10.78,clear sky
229,Hilo,US,19.7297,-155.09,81.28,93,100,3.44,moderate rain
230,Turayf,SA,31.6725,38.6637,71.85,56,0,9.22,clear sky
231,Goderich,CA,43.7501,-81.7165,72.91,88,0,4.61,clear sky
232,Sambava,MG,-14.2667,50.1667,69.28,84,93,11.1,light rain
233,Kenitra,MA,34.261,-6.5802,74.16,91,65,3.44,broken clouds
234,Kaspiysk,RU,42.8816,47.6392,73.58,73,20,8.99,few clouds
235,Mgachi,RU,51.05,142.2667,61.74,83,100,6.02,overcast clouds
236,Temir,KZ,49.1414,57.13,77.65,34,97,11.81,overcast clouds
237,Stornoway,GB,58.2093,-6.3865,53.56,89,100,4.61,overcast clouds
238,Cascais,PT,38.6979,-9.4215,67.46,72,33,21.0,scattered clouds
239,Kloulklubed,PW,7.0419,134.2556,82.9,75,64,4.65,broken clouds
240,Karratha,AU,-20.7377,116.8463,79.38,50,0,4.79,clear sky
241,Trinidad,BO,-14.8333,-64.9,71.37,49,4,2.82,clear sky
242,Nome,US,64.5011,-165.4064,50.07,76,100,10.36,overcast clouds
243,Dax,FR,43.75,-1.1667,70.39,87,100,5.75,overcast clouds
244,Eregli,TR,37.5133,34.0467,65.12,38,0,1.68,clear sky
245,Sverdlovskiy,RU,55.9108,38.1536,63.28,78,21,9.86,few clouds
246,Bambanglipuro,ID,-7.95,110.2833,80.2,71,99,14.7,overcast clouds
247,Cervo,ES,43.6702,-7.4101,63.88,86,100,9.93,overcast clouds
248,La Libertad,EC,-2.2333,-80.9,67.44,86,98,6.29,overcast clouds
249,Cernesti,RO,47.5167,23.75,55.72,47,2,4.36,clear sky
250,Truro,GB,50.2653,-5.0544,60.08,77,96,9.22,overcast clouds
251,Atasu,KZ,48.6814,71.6433,77.45,33,26,11.77,scattered clouds
252,Huarmey,PE,-10.0681,-78.1522,61.66,88,52,10.25,broken clouds
253,Namatanai,PG,-3.6667,152.4333,84.6,67,87,7.2,overcast clouds
254,Aqtobe,KZ,50.2797,57.2072,68.09,49,0,4.47,clear sky
255,Soc Trang,VN,9.6033,105.98,86.41,63,29,4.38,scattered clouds
256,Sunland Park,US,31.7965,-106.58,97.25,26,0,10.36,clear sky
257,Namwala,ZM,-15.7504,26.4384,56.77,72,18,5.55,few clouds
258,Dingle,PH,10.9995,122.6711,87.66,70,43,8.48,scattered clouds
259,Baykit,RU,61.67,96.37,71.62,54,19,8.52,light rain
260,Amga,RU,60.8953,131.9608,83.37,44,57,3.67,broken clouds
261,Fereydun Kenar,IR,36.6864,52.5225,79.99,77,100,10.76,light rain
262,Geraldton,AU,-28.7667,114.6,61.21,77,100,10.36,overcast clouds
263,Phangnga,TH,8.4509,98.5298,84.24,64,100,3.83,overcast clouds
264,Barrhead,GB,55.7992,-4.3929,59.02,83,100,9.22,overcast clouds
265,Zelenets,RU,61.8849,50.7489,68.41,56,35,6.8,scattered clouds
266,Brae,GB,60.3964,-1.353,49.96,86,95,8.1,overcast clouds
267,Xiongyue,CN,40.1774,122.1228,80.47,73,7,10.65,clear sky
268,Houston,US,29.7633,-95.3633,88.38,74,40,12.66,scattered clouds
269,Doha,QA,25.2867,51.5333,94.89,75,0,10.36,clear sky
270,Sheksna,RU,59.21,38.5107,58.96,76,16,4.16,few clouds
271,Kiruna,SE,67.8557,20.2251,50.92,82,100,2.3,overcast clouds
272,Erzin,TR,36.9559,36.2,75.9,59,0,3.09,clear sky
273,Taltal,CL,-25.4,-70.4833,57.11,88,23,1.74,few clouds
274,Faanui,PF,-16.4833,-151.75,77.34,73,16,10.22,light rain
275,Nisia Floresta,BR,-6.0911,-35.2086,75.58,95,100,6.96,overcast clouds
276,Verkhniy Baskunchak,RU,48.2256,46.7217,73.09,34,0,8.05,clear sky
277,Abha,SA,18.2164,42.5053,64.22,88,0,0.0,clear sky
278,Belyy,RU,55.8402,32.9419,58.71,81,4,5.77,clear sky
279,Uromi,NG,6.7,6.3333,67.8,98,99,3.69,overcast clouds
280,Luderitz,NA,-26.6481,15.1594,58.87,63,0,10.16,clear sky
281,Lazaro Cardenas,MX,17.9583,-102.2,81.43,83,88,0.72,overcast clouds
282,Bowen,AU,-20.0167,148.2333,73.8,47,0,8.12,clear sky
283,Lufilufi,WS,-13.8745,-171.5986,87.58,75,16,15.39,few clouds
284,Grand Gaube,MU,-20.0064,57.6608,70.38,74,36,8.99,scattered clouds
285,Madang,PG,-5.2246,145.7966,84.78,66,9,6.38,clear sky
286,Furukawa,JP,38.5717,140.9556,76.75,98,100,1.77,light rain
287,Marshall,US,34.3834,-86.3333,79.38,78,40,3.44,scattered clouds
288,Chumikan,RU,54.7183,135.315,59.0,83,94,8.01,overcast clouds
289,Kununurra,AU,-15.7667,128.7333,84.18,18,1,5.75,clear sky
290,San Carlos,VE,9.6612,-68.5827,71.96,97,40,2.46,scattered clouds
291,Mamallapuram,IN,12.6264,80.1722,84.25,64,100,13.22,overcast clouds
292,Baghdad,IQ,33.3406,44.4009,85.91,25,0,8.05,dust
293,Roebourne,AU,-20.7833,117.1333,79.95,49,0,3.42,clear sky
294,Olafsvik,IS,64.8945,-23.7142,51.55,92,100,4.23,overcast clouds
295,Bubaque,GW,11.2833,-15.8333,78.42,85,100,16.24,light rain
296,Mount Gambier,AU,-37.8333,140.7667,56.55,68,100,12.03,light rain
297,Bethel,US,41.3712,-73.414,81.48,80,23,4.29,few clouds
298,Faya,SA,18.3851,42.4509,64.51,36,16,1.66,few clouds
299,Olga,RU,43.7444,135.2892,63.01,94,100,7.07,overcast clouds
300,La Palma,US,33.8464,-118.0467,83.71,76,75,8.05,broken clouds
301,Norman Wells,CA,65.282,-126.8329,69.84,78,75,4.61,broken clouds
302,Tamiahua,MX,21.2667,-97.45,81.14,88,37,8.12,scattered clouds
303,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,85,62,2.06,broken clouds
304,Ilulissat,GL,69.2167,-51.1,50.02,87,75,5.75,broken clouds
305,Kodiak,US,57.79,-152.4072,54.91,76,100,0.0,overcast clouds
306,Dauphin,CA,51.1494,-100.0502,68.14,64,0,10.36,clear sky
307,Savalou,BJ,7.9281,1.9756,69.8,95,67,3.85,light rain
308,Cayenne,GF,4.9333,-52.3333,79.09,1,57,2.3,broken clouds
309,Pisco,PE,-13.7,-76.2167,60.85,82,100,3.44,overcast clouds
310,Beidao,CN,34.5686,105.8933,74.46,53,66,4.03,broken clouds
311,Le Port,RE,-20.9373,55.2919,67.96,63,7,7.76,clear sky
312,Yicheng,CN,31.3705,119.8703,91.0,63,13,1.74,few clouds
313,Hare Bay,CA,48.8499,-54.0148,63.75,95,71,2.57,broken clouds
314,Santa Maria,BR,-29.6842,-53.8069,63.7,100,0,4.61,clear sky
315,Inhambane,MZ,-23.865,35.3833,65.97,85,4,1.23,clear sky
316,Lokosovo,RU,61.1333,74.8167,61.18,58,22,9.6,few clouds
317,Carnarvon,AU,-24.8667,113.6333,67.17,48,0,17.87,clear sky
318,Alice Town,BS,25.7167,-79.3,84.07,73,72,18.45,broken clouds
319,Grants Pass,US,42.439,-123.3284,89.11,34,0,9.22,clear sky
320,Nouadhibou,MR,20.931,-17.0347,75.18,88,5,3.44,clear sky
321,Tanout,NE,14.9709,8.8879,84.7,46,88,6.44,overcast clouds
322,Leningradskiy,RU,69.3833,178.4167,34.83,98,100,5.61,overcast clouds
323,Komsomolskiy,UZ,40.4272,71.7189,92.12,22,0,4.61,clear sky
324,Vrangel,RU,42.7297,133.0839,66.06,89,100,10.74,overcast clouds
325,Axim,GH,4.8699,-2.2405,72.97,79,37,6.11,scattered clouds
326,Pishin,PK,30.5803,66.9961,86.23,39,47,7.2,scattered clouds
327,Pacific Grove,US,36.6177,-121.9166,65.25,89,75,9.22,broken clouds
328,Honningsvag,NO,70.9821,25.9704,53.35,87,75,12.66,broken clouds
329,Cabedelo,BR,-6.9811,-34.8339,72.27,86,100,7.56,overcast clouds
330,Henties Bay,NA,-22.116,14.2845,61.93,57,0,4.63,clear sky
331,Eldorado,BR,-23.7869,-54.2836,65.41,56,76,6.55,broken clouds
332,Tautira,PF,-17.7333,-149.15,74.89,79,23,12.37,light rain
333,San Patricio,US,28.017,-97.5169,85.89,75,3,12.12,clear sky
