City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
226,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
230,Turayf,SA,71.85,clear sky,31.6725,38.6637,Turaif
231,Goderich,CA,72.91,clear sky,43.7501,-81.7165,Harmony Inn
232,Sambava,MG,69.28,light rain,-14.2667,50.1667,Melrose
233,Kenitra,MA,74.16,broken clouds,34.261,-6.5802,Bienvenue chez vous
234,Kaspiysk,RU,73.58,few clouds,42.8816,47.6392,Alima Hostel
238,Cascais,PT,67.46,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
240,Karratha,AU,79.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
241,Trinidad,BO,71.37,clear sky,-14.8333,-64.9,Hotel Piesta
243,Dax,FR,70.39,overcast clouds,43.75,-1.1667,Marrocq
244,Eregli,TR,65.12,clear sky,37.5133,34.0467,Hotel Fuat Bey
248,La Libertad,EC,67.44,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
251,Atasu,KZ,77.45,scattered clouds,48.6814,71.6433,Dostyk
254,Aqtobe,KZ,68.09,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
261,Fereydun Kenar,IR,79.99,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
265,Zelenets,RU,68.41,scattered clouds,61.8849,50.7489,Zelenetskii Alps Ski Base
272,Erzin,TR,75.9,clear sky,36.9559,36.2,Artemis Otel
274,Faanui,PF,77.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Nisia Floresta,BR,75.58,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
276,Verkhniy Baskunchak,RU,73.09,clear sky,48.2256,46.7217,Kombat
279,Uromi,NG,67.8,overcast clouds,6.7,6.3333,Royal Motel
282,Bowen,AU,73.8,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
284,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
286,Furukawa,JP,76.75,light rain,38.5717,140.9556,Value the Hotel Furukawa Sanbongi
287,Marshall,US,79.38,scattered clouds,34.3834,-86.3333,Riverview Campground
290,San Carlos,VE,71.96,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
293,Roebourne,AU,79.95,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
295,Bubaque,GW,78.42,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
301,Norman Wells,CA,69.84,broken clouds,65.282,-126.8329,Heritage Hotel
303,Vila Franca Do Campo,PT,69.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
306,Dauphin,CA,68.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
307,Savalou,BJ,69.8,light rain,7.9281,1.9756,Hotel F&F
308,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
310,Beidao,CN,74.46,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
311,Le Port,RE,67.96,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
315,Inhambane,MZ,65.97,clear sky,-23.865,35.3833,Oceano
317,Carnarvon,AU,67.17,clear sky,-24.8667,113.6333,Hospitality Carnarvon
